<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,18/01/18,000000,69.3460000,69.4283000,68.9340000,69.1500000,88897
EURRUB,D,19/01/18,000000,69.1750000,69.5470000,69.0630000,69.2900000,83665
EURRUB,D,20/01/18,000000,69.3030000,69.3763000,68.7363000,69.3430000,277
EURRUB,D,21/01/18,000000,69.2730000,69.4650000,69.2730000,69.4650000,4
EURRUB,D,22/01/18,000000,69.5580000,69.5580000,69.0230000,69.2237000,71873
EURRUB,D,23/01/18,000000,69.2290000,69.4250000,68.9060000,69.3090000,84304
EURRUB,D,24/01/18,000000,69.3470000,69.8540000,69.2200000,69.5650000,89269
EURRUB,D,25/01/18,000000,69.6160000,69.8990000,69.0290000,69.2730000,110428
EURRUB,D,26/01/18,000000,69.2790000,69.9510000,68.9950000,69.8340000,96403
EURRUB,D,27/01/18,000000,69.8250000,69.8980000,69.7580000,69.8690000,342
EURRUB,D,28/01/18,000000,69.8150000,69.8550000,69.8150000,69.8550000,8
EURRUB,D,29/01/18,000000,69.8020000,70.0574000,69.4710000,69.7370000,89372
EURRUB,D,30/01/18,000000,69.7520000,70.0520000,69.3050000,69.8710000,98136
EURRUB,D,31/01/18,000000,69.8900000,70.2290000,69.6240000,69.7520000,99114
EURRUB,D,01/02/18,000000,69.7790000,70.2610000,69.5350000,69.9609000,75569
EURRUB,D,02/02/18,000000,69.9450000,70.4720000,69.8420000,70.4400000,84050
EURRUB,D,03/02/18,000000,70.4400000,70.4670000,70.0870000,70.4450000,350
EURRUB,D,04/02/18,000000,70.2780000,70.2780000,69.8519000,69.8519000,39
EURRUB,D,05/02/18,000000,69.8660000,71.0260000,69.7770000,70.9710000,94169
EURRUB,D,06/02/18,000000,70.9730000,71.2368000,70.2420000,70.3220000,124248
EURRUB,D,07/02/18,000000,70.3220000,70.8434000,70.1200000,70.8290000,107152
EURRUB,D,08/02/18,000000,70.8440000,71.5756000,70.5330000,71.5140000,106894
EURRUB,D,09/02/18,000000,71.5120000,71.8340000,70.9600000,71.3750000,70187
EURRUB,D,10/02/18,000000,71.3970000,71.5060000,71.3150000,71.4960000,251
EURRUB,D,11/02/18,000000,71.7040000,71.7040000,71.7040000,71.7040000,1
EURRUB,D,12/02/18,000000,71.4490000,71.7860000,70.7410000,70.9720000,88803
EURRUB,D,13/02/18,000000,71.0380000,71.5810000,70.7190000,71.1990000,94603
EURRUB,D,14/02/18,000000,71.2270000,71.6670000,70.4390000,70.6810000,85672
EURRUB,D,15/02/18,000000,70.7260000,70.9450000,70.3920000,70.4880000,104927
EURRUB,D,16/02/18,000000,70.5120000,70.9360000,69.8420000,69.9610000,51434
EURRUB,D,17/02/18,000000,69.9690000,70.0320000,69.8510000,70.0320000,236
EURRUB,D,18/02/18,000000,69.9810000,70.1853000,69.9810000,70.0270000,45
EURRUB,D,19/02/18,000000,70.0270000,70.1884000,69.7400000,70.0380000,75861
EURRUB,D,20/02/18,000000,70.0480000,70.1220000,69.5020000,69.6330000,96805
EURRUB,D,21/02/18,000000,69.6950000,69.8800000,69.5650000,69.7660000,89075
EURRUB,D,22/02/18,000000,69.7850000,69.9040000,69.4950000,69.6490000,94164
EURRUB,D,23/02/18,000000,69.6750000,69.7439000,69.0790000,69.2250000,71758
EURRUB,D,24/02/18,000000,69.2640000,69.2895000,68.8520000,69.2150000,240
EURRUB,D,25/02/18,000000,69.2590000,69.2590000,68.9029000,68.9259000,15
EURRUB,D,26/02/18,000000,68.9560000,69.3950000,68.5100000,68.5900000,87507
EURRUB,D,27/02/18,000000,68.6080000,69.3950000,68.3920000,68.7850000,96064
EURRUB,D,28/02/18,000000,68.8010000,69.3950000,68.1910000,68.7480000,92717
EURRUB,D,01/03/18,000000,68.7570000,69.7810000,68.5570000,69.6580000,89861
EURRUB,D,02/03/18,000000,69.6810000,70.5950000,69.3260000,70.0680000,90554
