<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,12/02/18,000000,58.3500000,58.6200000,57.6065000,57.7926000,355158
USDRUB,D,13/02/18,000000,57.7960000,57.9623000,57.5590000,57.6296000,322537
USDRUB,D,14/02/18,000000,57.6370000,58.0514000,56.6510000,56.7303000,380796
USDRUB,D,15/02/18,000000,56.7241000,56.8820000,56.3375000,56.3920000,394969
USDRUB,D,16/02/18,000000,56.3788000,56.7046000,56.1188000,56.3825000,326429
USDRUB,D,17/02/18,000000,56.3814000,56.4190000,56.3570000,56.3940000,718
USDRUB,D,18/02/18,000000,56.4190000,56.5623000,56.3920000,56.4809000,75
USDRUB,D,19/02/18,000000,56.4900000,56.5480000,56.1815000,56.4483000,206582
USDRUB,D,20/02/18,000000,56.4790000,56.7680000,56.3175000,56.4913000,296340
USDRUB,D,21/02/18,000000,56.4919000,56.7924000,56.4090000,56.7794000,272698
USDRUB,D,22/02/18,000000,56.7781000,56.8936000,56.4324000,56.5000000,278520
USDRUB,D,23/02/18,000000,56.5226000,56.5980000,56.2384000,56.3238000,59265
USDRUB,D,24/02/18,000000,56.3248000,56.4000000,56.0266000,56.3800000,3988
USDRUB,D,25/02/18,000000,56.2860000,56.3226000,56.0830000,56.1100000,57
USDRUB,D,26/02/18,000000,56.0912000,56.3009000,55.6540000,55.7122000,266241
USDRUB,D,27/02/18,000000,55.7229000,56.3735000,55.5006000,56.2520000,306954
USDRUB,D,28/02/18,000000,56.2664000,56.4648000,55.9874000,56.3472000,328080
USDRUB,D,01/03/18,000000,56.3682000,57.0566000,56.2856000,56.8083000,408014
USDRUB,D,02/03/18,000000,56.8248000,57.3795000,56.5105000,56.8220000,399015
